"date","close","volume","open","high","low"
"2016/06/16","97.5500","31251870.0000","96.4500","97.7500","96.0700"
"2016/06/15","97.1400","29373050.0000","97.8200","98.4100","97.0300"
"2016/06/14","97.4600","31890740.0000","97.3200","98.4750","96.7500"
"2016/06/13","97.3400","37708360.0000","98.6900","99.1200","97.1000"
"2016/06/10","98.8300","31672220.0000","98.5300","99.3457","98.4800"
"2016/06/09","99.6500","26575570.0000","98.5000","99.9900","98.4600"
"2016/06/08","98.9400","20839950.0000","99.0200","99.5600","98.6800"
"2016/06/07","99.0300","22378380.0000","99.2500","99.8700","98.9600"
"2016/06/06","98.6300","23265200.0000","97.9900","101.8900","97.5500"
"2016/06/03","97.9200","28487570.0000","97.7900","98.2700","97.4500"
"2016/06/02","97.7200","40170200.0000","97.6000","97.8400","96.6300"
"2016/06/01","98.4600","29139100.0000","99.0200","99.5400","98.3300"
"2016/05/31","99.8600","42268040.0000","99.6000","100.4000","98.8200"
"2016/05/27","100.3500","36299460.0000","99.4400","100.4700","99.2450"
"2016/05/26","100.4100","56293490.0000","99.6800","100.7300","98.6400"
"2016/05/25","99.6200","38258300.0000","98.6700","99.7400","98.1100"
"2016/05/24","97.9000","35074380.0000","97.2200","98.0900","96.8400"
"2016/05/23","96.4300","37977020.0000","95.8700","97.1900","95.6700"
"2016/05/20","95.2200","31834020.0000","94.6400","95.4300","94.5200"
"2016/05/19","94.2000","30417880.0000","94.6400","94.6400","93.5700"
"2016/05/18","94.5600","42009830.0000","94.1600","95.2100","93.8900"
"2016/05/17","93.4900","46858910.0000","94.5500","94.7000","93.0100"
"2016/05/16","93.8800","61192340.0000","92.3900","94.3900","91.6500"
"2016/05/13","90.5200","44223040.0000","90.0000","91.6700","90.0000"
"2016/05/12","90.3400","76183460.0000","92.7200","92.7800","89.4700"
"2016/05/11","92.5100","28641180.0000","93.4800","93.5700","92.4600"
"2016/05/10","93.4200","33653020.0000","93.3300","93.5700","92.1100"
"2016/05/09","92.7900","32895650.0000","93.0000","93.7700","92.5900"
"2016/05/06","92.7200","43665160.0000","93.3700","93.4500","91.8500"
"2016/05/05","93.2400","35850220.0000","94.0000","94.0700","92.6800"
"2016/05/04","94.1900","40984160.0000","95.2000","95.9000","93.8200"
"2016/05/03","95.1800","56770080.0000","94.2000","95.7400","93.6800"
"2016/05/02","93.6400","47844490.0000","93.9650","94.0800","92.4000"
"2016/04/29","93.7400","68388840.0000","93.9900","94.7200","92.5100"
"2016/04/28","94.8300","82107120.0000","97.6100","97.8800","94.2500"
"2016/04/27","97.8200","114436300.0000","96.0000","98.7100","95.6800"
"2016/04/26","104.3500","52979780.0000","103.9100","105.3000","103.9100"
"2016/04/25","105.0800","27997990.0000","105.0000","105.6500","104.5100"
"2016/04/22","105.6800","33655810.0000","105.0100","106.4800","104.6200"
"2016/04/21","105.9700","31416910.0000","106.9300","106.9300","105.5200"
"2016/04/20","107.1300","30576980.0000","106.6400","108.0900","106.0600"
"2016/04/19","106.9100","32340620.0000","107.8800","108.0000","106.2300"
"2016/04/18","107.4800","60784920.0000","108.8900","108.9500","106.9400"
"2016/04/15","109.8500","46873670.0000","112.1100","112.3000","109.7300"
"2016/04/14","112.1000","25364920.0000","111.6200","112.3900","111.3300"
"2016/04/13","112.0400","32771760.0000","110.8000","112.3400","110.8000"
"2016/04/12","110.4400","27150570.0000","109.3400","110.5000","108.6600"
"2016/04/11","109.0200","29357940.0000","108.9700","110.6100","108.8300"
"2016/04/08","108.6600","23553790.0000","108.9100","109.7700","108.1700"
"2016/04/07","108.5400","31735810.0000","109.9500","110.4200","108.1210"
"2016/04/06","110.9600","26178840.0000","110.2300","110.9800","109.2000"
"2016/04/05","109.8100","26560420.0000","109.5100","110.7300","109.4200"
"2016/04/04","111.1200","37322930.0000","110.4200","112.1900","110.2700"
"2016/04/01","109.9900","25820460.0000","108.7800","110.0000","108.2000"
"2016/03/31","108.9900","25763840.0000","109.7200","109.9000","108.8800"
"2016/03/30","109.5600","45547590.0000","108.6500","110.4200","108.6000"
"2016/03/29","107.6800","31154910.0000","104.8900","107.7900","104.8800"
"2016/03/28","105.1900","19354440.0000","106.0000","106.1900","105.0600"
"2016/03/24","105.6700","25568350.0000","105.4700","106.2500","104.8900"
"2016/03/23","106.1300","25686350.0000","106.4800","107.0700","105.9000"
"2016/03/22","106.7200","32345430.0000","105.2500","107.2900","105.2100"
"2016/03/21","105.9100","35454230.0000","105.9300","107.6500","105.1401"
"2016/03/18","105.9200","43607120.0000","106.3400","106.5000","105.1900"
"2016/03/17","105.8000","34394830.0000","105.5200","106.4700","104.9600"
"2016/03/16","105.9700","38236730.0000","104.6100","106.3100","104.5900"
"2016/03/15","104.5800","40026250.0000","103.9600","105.1800","103.8500"
"2016/03/14","102.5200","25058280.0000","101.9100","102.9100","101.7800"
"2016/03/11","102.2600","27368840.0000","102.2400","102.2800","101.5000"
"2016/03/10","101.1700","33490630.0000","101.4100","102.2400","100.1500"
"2016/03/09","101.1200","27148530.0000","101.3100","101.5800","100.2700"
"2016/03/08","101.0300","31538710.0000","100.7800","101.7600","100.4000"
"2016/03/07","101.8700","35890740.0000","102.3900","102.8300","100.9600"
"2016/03/04","103.0100","46026600.0000","102.3700","103.7500","101.3700"
"2016/03/03","101.5000","36884490.0000","100.5800","101.7099","100.4500"
"2016/03/02","100.7500","33136130.0000","100.5100","100.8900","99.6400"
"2016/03/01","100.5300","50303500.0000","97.6500","100.7700","97.4200"
"2016/02/29","96.6900","35131460.0000","96.8600","98.2300","96.6500"
"2016/02/26","96.9100","28949760.0000","97.2000","98.0237","96.5800"
"2016/02/25","96.7600","27526040.0000","96.0500","96.7600","95.2500"
"2016/02/24","96.1000","36192150.0000","93.9800","96.3800","93.3200"
"2016/02/23","94.6900","31851180.0000","96.4000","96.5000","94.5500"
"2016/02/22","96.8800","34240470.0000","96.3100","96.9000","95.9200"
"2016/02/19","96.0400","35290570.0000","96.0000","96.7599","95.8000"
"2016/02/18","96.2600","38866100.0000","98.8400","98.8900","96.0910"
"2016/02/17","98.1200","44811800.0000","96.6700","98.2100","96.1500"
"2016/02/16","96.6400","48032600.0000","95.0200","96.8500","94.6100"
"2016/02/12","93.9900","40323020.0000","94.1900","94.5000","93.0100"
"2016/02/11","93.7000","49979700.0000","93.7900","94.7200","92.5900"
"2016/02/10","94.2700","42288790.0000","95.9200","96.3500","94.1000"
"2016/02/09","94.9900","44282560.0000","94.2900","95.9400","93.9300"
"2016/02/08","95.0100","53920550.0000","93.1300","95.7000","93.0400"
"2016/02/05","94.0200","46315620.0000","96.5200","96.9200","93.6900"
"2016/02/04","96.6000","46418230.0000","95.8600","97.3300","95.1900"
"2016/02/03","96.3500","45870130.0000","95.0000","96.8400","94.0800"
"2016/02/02","94.4800","37190500.0000","95.4200","96.0400","94.2800"
"2016/02/01","96.4300","40814360.0000","96.4700","96.7100","95.4000"
"2016/01/29","97.3400","64332440.0000","94.7900","97.3400","94.3500"
"2016/01/28","94.0900","55622370.0000","93.7900","94.5200","92.3900"
"2016/01/27","93.4200","133059000.0000","96.0400","96.6289","93.3400"
"2016/01/26","99.9900","71937310.0000","99.9300","100.8800","98.0700"
"2016/01/25","99.4400","51529980.0000","101.5200","101.5300","99.2100"
"2016/01/22","101.4200","65648660.0000","98.6300","101.4600","98.3700"
"2016/01/21","96.3000","52099200.0000","97.0600","97.8800","94.9400"
"2016/01/20","96.7900","72274300.0000","95.1000","98.1897","93.4200"
"2016/01/19","96.6600","52960810.0000","98.4100","98.6500","95.5000"
"2016/01/15","97.1300","79356010.0000","96.2000","97.7100","95.3600"
"2016/01/14","99.5200","63000140.0000","97.9600","100.4800","95.7400"
"2016/01/13","97.3900","62285770.0000","100.3200","101.1900","97.3000"
"2016/01/12","99.9600","49046150.0000","100.5500","100.6900","98.8399"
"2016/01/11","98.5300","49687870.0000","98.9700","99.0600","97.3400"
"2016/01/08","96.9600","70722000.0000","98.5500","99.1100","96.7600"
"2016/01/07","96.4500","80742460.0000","98.6800","100.1300","96.4300"
"2016/01/06","100.7000","68384270.0000","100.5600","102.3700","99.8700"
"2016/01/05","102.7100","55583140.0000","105.7500","105.8500","102.4100"
"2016/01/04","105.3500","67569090.0000","102.6100","105.3680","102.0000"
"2015/12/31","105.2600","40885480.0000","107.0100","107.0300","104.8200"
"2015/12/30","107.3200","25184090.0000","108.5800","108.7000","107.1800"
"2015/12/29","108.7400","30912260.0000","106.9600","109.4300","106.8600"
"2015/12/28","106.8200","26639930.0000","107.5900","107.6900","106.1807"
"2015/12/24","108.0300","13596680.0000","109.0000","109.0000","107.9500"
"2015/12/23","108.6100","32618140.0000","107.2700","108.8500","107.2000"
"2015/12/22","107.2300","32728460.0000","107.4000","107.7200","106.4510"
"2015/12/21","107.3300","47507230.0000","107.2800","107.3700","105.5700"
"2015/12/18","106.0300","96197190.0000","108.9100","109.5200","105.8100"
"2015/12/17","108.9800","44654830.0000","112.0200","112.2500","108.9800"
"2015/12/16","111.3400","56157370.0000","111.0700","111.9900","108.8000"
"2015/12/15","110.4900","53168580.0000","111.9400","112.8000","110.3500"
"2015/12/14","112.4800","64678220.0000","112.1800","112.6800","109.7900"
"2015/12/11","113.1800","46810020.0000","115.1900","115.3900","112.8510"
"2015/12/10","116.1700","29158640.0000","116.0400","116.9400","115.5100"
"2015/12/09","115.6200","46301930.0000","117.6400","117.6900","115.0800"
"2015/12/08","118.2300","34275420.0000","117.5200","118.6000","116.8600"
"2015/12/07","118.2800","32063100.0000","118.9800","119.8600","117.8100"
"2015/12/04","119.0300","57717870.0000","115.2900","119.2500","115.1100"
"2015/12/03","115.2000","41511380.0000","116.5500","116.7900","114.2200"
"2015/12/02","116.2800","33316990.0000","117.0500","118.1100","116.0800"
"2015/12/01","117.3400","34806250.0000","118.7500","118.8100","116.8600"
"2015/11/30","118.3000","38063130.0000","117.9900","119.4100","117.7500"
"2015/11/27","117.8100","13046450.0000","118.2900","118.4100","117.6000"
"2015/11/25","118.0300","21341960.0000","119.2100","119.2300","117.9200"
"2015/11/24","118.8800","42747950.0000","117.3300","119.3500","117.1200"
"2015/11/23","117.7500","32445680.0000","119.2700","119.7300","117.3400"
"2015/11/20","119.3000","34135230.0000","119.2000","119.9200","118.8500"
"2015/11/19","118.7800","43233950.0000","117.6400","119.7500","116.7600"
"2015/11/18","117.2900","46559730.0000","115.7600","117.4900","115.5000"
"2015/11/17","113.6900","27584020.0000","114.9200","115.0500","113.3200"
"2015/11/16","114.1750","37979570.0000","111.3800","114.2400","111.0000"
"2015/11/13","112.3400","45555300.0000","115.2000","115.5700","112.2700"
